# t (s)	mx ()	my ()	mz ()	m.region23x ()	m.region23y ()	m.region23z ()	m.region24x ()	m.region24y ()	m.region24z ()	m.region25x ()	m.region25y ()	m.region25z ()	B_extx (T)	B_exty (T)	B_extz (T)	B_eff.region6x (T)	B_eff.region6y (T)	B_eff.region6z (T)	B_eff.region9x (T)	B_eff.region9y (T)	B_eff.region9z (T)	step_x (No unit)	step_y (No unit)	points_TOP_wire (No unit)
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.11093989	-0.012196288	0.0010850888	NaN	NaN	NaN	1.6666667e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.10835001	-0.01302278	0.0009581093	NaN	NaN	NaN	1.728395e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.1060799	-0.013922814	0.0008375137	NaN	NaN	NaN	1.7901235e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.10411456	-0.014903661	0.00072219863	NaN	NaN	NaN	1.8518519e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.102440484	-0.015973406	0.00061111955	NaN	NaN	NaN	1.9135803e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.101045914	-0.017141132	0.0005033283	NaN	NaN	NaN	1.9753087e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.09992078	-0.018416967	0.0003979061	NaN	NaN	NaN	2.037037e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.09905554	-0.019812265	0.00029399683	NaN	NaN	NaN	2.0987655e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.09844227	-0.0213397	0.00019075687	NaN	NaN	NaN	2.1604939e-07	1e-07	162
0	0	-0.29382473	0	-1	-6.123238e-17	0	1	6.123238e-17	0	-6.12324e-17	-1	0	0	0	0	-0.09807312	-0.02301347	8.738313e-05	NaN	NaN	NaN	2.2222223e-07	1e-07	162
